Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.125761,0.120458
5,24.1667,31.3,0.0839104,0.0813941
10,40.4,46.7,0.0678037,0.0669377
15,44.675,49.8,0.0613362,0.0612036
20,46.6167,50.4,0.0582724,0.0585559
25,48.35,52.65,0.0566188,0.0572433
30,50.0833,54.025,0.0556324,0.0567663
35,51.6333,58.75,0.0549894,0.0572004
40,52.2417,60.575,0.053994,0.0586513
45,54.0917,60.575,0.0528943,0.0577306
50,55.4333,60.95,0.0523759,0.0557695
55,56.3833,61.925,0.0519755,0.0532932
60,57.275,61.775,0.0516512,0.0516012
65,58.2167,62.225,0.0514687,0.0509525
70,58.7917,62.375,0.0512875,0.0504333
75,59.3583,62.325,0.0511211,0.0500704
80,59.8167,62.525,0.0510023,0.0500132
85,60.1917,63.05,0.0509721,0.0500151
90,60.6583,63.35,0.0508982,0.0501714
95,60.8917,63.55,0.0508729,0.0504096
100,61.15,63.55,0.0508003,0.0504903
105,61.3833,63.775,0.0507021,0.0505038
110,61.9083,64.425,0.0506201,0.0504865
115,62.4333,64.75,0.0505284,0.0503281
120,62.7667,64.8,0.0505564,0.0501549
125,63.1333,65.075,0.0505109,0.050121
130,63.375,65.425,0.05046,0.0500312
135,63.475,65.625,0.0492429,0.0490734
140,63.6,66.225,0.0482046,0.0478381
145,62.6917,65,0.0475137,0.0469726
150,62.2583,64.85,0.0471482,0.0467271

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 66.225 Validation Set MSE: 0.0478584
