Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.191963,0.187516
5,0,0,0.123281,0.115614
10,0,0,0.074189,0.0704155
15,0,0,0.0501692,0.0482437
20,0,0,0.0372487,0.0361305
25,0,0,0.0293976,0.0286779
30,0,0,0.0241748,0.0236763
35,0,0,0.0204692,0.0201049
40,0,0,0.0177126,0.0174356
45,0,0,0.0155868,0.0153695
50,0,0,0.0139004,0.0137258
55,0,0,0.0125319,0.0123886
60,0,0,0.0114003,0.0112806
65,0,0,0.0104498,0.0103485
70,0,0,0.0096407,0.00955393
75,100,100,0.00907556,0.00899829

Training Complete!!! - > Elapsed Epochs: 75 Validation Set Accuracy: 100 Validation Set MSE: 0.00899829
